"Year","Node","degree_in","degree_out","betweenness","closeness","strength_in","strength_out","strength_diff"
2007,"Africa",11,14,4,1.90505897319385e-05,61485421.6922708,5866769.63844416,55618652.0538266
2007,"Americas",20,19,9,2.22447190037428e-05,210004134.011199,43511883.6092013,166492250.401998
2007,"Asia",21,19,0,5.34488160115788e-06,671194173.727589,482729808.388306,188464365.339283
2007,"Europe",20,17,4,2.24924313688673e-05,204605944.744213,26172770.5269588,178433174.217254
2007,"Oceania",37,36,9,2.2725633315252e-05,421229020.936227,404826680.048042,16402340.8881847
2007,"PICs",25,29,13,2.27846913410538e-05,2050444042.94985,2655854825.8504,-605410782.900547
2008,"Africa",15,17,4,2.99339023281152e-05,59983399.0550627,31112305.6724995,28871093.3825631
2008,"Americas",21,21,5,2.99339023281152e-05,292131483.115699,99247890.092369,192883593.02333
2008,"Asia",21,21,0,1.17468467962025e-05,602871370.157922,423529956.059866,179341414.098056
2008,"Europe",20,19,4,3.51160116882047e-05,160828244.20813,44917466.2038879,115910778.004242
2008,"Oceania",42,41,12,4.02719495466498e-05,418315081.769433,414392199.196166,3922882.57326698
2008,"PICs",29,29,2,2.79573607495886e-05,1917381725.43353,2438311486.51499,-520929761.081458
2009,"Africa",21,21,6,1.09556243491697e-05,83329224.2242075,63441064.0339694,19888160.1902381
2009,"Americas",21,21,0,6.30639056143826e-06,288875424.578689,95260328.4143488,193615096.16434
2009,"Asia",21,21,0,3.81831187980735e-06,825540587.883773,578847420.94632,246693166.937453
2009,"Europe",20,20,2,9.62837818497871e-06,210198241.423608,51436763.998327,158761477.425281
2009,"Oceania",46,45,11,1.13806229568841e-05,563661567.980038,544474510.017434,19187057.9626031
2009,"PICs",31,32,2,1.04393623626252e-05,1898480300.90049,2536625259.58041,-638144958.679914
2010,"Africa",21,21,4,5.30234387480617e-06,103505049.638477,83626958.2891042,19878091.3493733
2010,"Americas",21,21,0,4.05810685708416e-06,287384478.566536,89684891.7457691,197699586.820767
2010,"Asia",21,21,0,3.4211495741094e-06,868912082.669926,668356276.148658,200555806.521268
2010,"Europe",20,20,13,8.74414549554901e-06,211418142.232228,47236022.5798485,164182119.65238
2010,"Oceania",46,45,11,8.25919398362039e-06,556061367.981217,541793064.252621,14268303.728596
2010,"PICs",31,32,4,8.63685870862214e-06,1959734591.06591,2556318499.1383,-596583908.072384
2011,"Africa",20,20,3,3.51505804182369e-06,105989968.295809,51509190.4625993,54480777.8332096
2011,"Americas",21,21,0,3.41542495217191e-06,544291984.828955,82315516.9348483,461976467.894106
2011,"Asia",21,21,0,7.71507485799593e-07,1172206749.24522,978084856.797668,194121892.447553
2011,"Europe",21,21,9,3.62168763419724e-06,368403764.915705,73679316.0190596,294724448.896645
2011,"Oceania",46,46,9,3.67816676307344e-06,955454642.25416,935413435.765899,20041206.4882613
2011,"PICs",31,31,8,3.56691677544404e-06,931712964.971023,1957057758.5308,-1025344793.55978
2012,"Africa",17,19,4,1.36755268624188e-05,116239907.597914,43503582.7990316,72736324.7988826
2012,"Americas",21,21,3,1.37459026964561e-05,336937613.106732,90080255.5132833,246857357.593449
2012,"Asia",21,21,0,3.17355942370973e-06,1189593031.02836,976344993.125687,213248037.902669
2012,"Europe",21,20,3,1.42370478279159e-05,364538637.075706,69135942.1729196,295402694.902786
2012,"Oceania",43,42,7,1.42370478279159e-05,790033428.649643,769389475.010206,20643953.6394366
2012,"PICs",31,31,2,1.29122085432342e-05,1749143350.74853,2598031719.58575,-848888368.837223
2013,"Africa",19,20,10,1.00904761377135e-05,94482793.1082738,22597283.6613095,71885509.4469642
2013,"Americas",20,20,0,8.39288879706418e-06,283997527.607572,49385259.0259768,234612268.581596
2013,"Asia",21,21,0,2.25963170798078e-06,1022267382.22445,922244183.688632,100023198.535818
2013,"Europe",21,20,0,9.38379440180001e-06,315827652.265208,77508065.5856918,238319586.679516
2013,"Oceania",42,42,13,1.0284140544147e-05,575927231.397369,569166285.284285,6760946.11308384
2013,"PICs",31,31,0,9.83875799995884e-06,2117265353.85545,2768866863.21243,-651601509.356978
2014,"Africa",20,20,9,1.24051501056292e-05,90224338.3178003,21246993.2010543,68977345.116746
2014,"Americas",21,21,0,1.19701325665832e-05,269475266.692904,71708560.2446828,197766706.448221
2014,"Asia",21,21,0,3.12042510465848e-06,1265120682.21737,1259748360.15019,5372322.06717706
2014,"Europe",21,21,7,1.36259805924564e-05,272789252.971802,75907079.4606737,196882173.511128
2014,"Oceania",44,43,7,1.32666065394126e-05,631349627.277267,626402910.453475,4946716.8237915
2014,"PICs",31,32,9,1.36259805924564e-05,2617526599.76294,3091471863.73,-473945263.967064
2015,"Africa",17,18,0,4.1959848987002e-05,134242507.656622,16217386.0939877,118025121.562634
2015,"Americas",21,20,4,5.70642752188653e-05,298662723.923765,59760332.6008595,238902391.322906
2015,"Asia",21,21,0,1.84082875479682e-05,1499518839.37036,1433756886.4689,65761952.9014585
2015,"Europe",20,19,8,5.19644723467015e-05,312891586.224782,70259151.8085695,242632434.416212
2015,"Oceania",45,43,14,5.09506502727236e-05,633225584.241204,617761892.486449,15463691.7547549
2015,"PICs",28,31,3,5.70642752188653e-05,2154614635.65066,2835400227.60863,-680785591.957966
2016,"Africa",17,17,0,2.30502919365445e-05,184485300.041655,32749359.5099541,151735940.531701
2016,"Americas",21,18,6,1.70133222813744e-05,305531234.823568,38060505.5103297,267470729.313238
2016,"Asia",21,21,0,1.3698378819245e-05,1570644669.01098,1458097513.19572,112547155.815259
2016,"Europe",17,17,4,3.08932095268488e-05,333692955.783479,63762972.2905828,269929983.492896
2016,"Oceania",45,43,10,3.08932095268488e-05,622652859.119619,601072728.073156,21580131.0464625
2016,"PICs",25,30,5,1.5525454077044e-05,1956345148.58957,2779609088.78913,-823263940.199558
2017,"Africa",19,19,6,3.16862055630344e-06,115704672.109035,12989768.0843782,102714904.024657
2017,"Americas",21,21,7,3.17465395664253e-06,394866246.253363,45440255.1833562,349425991.070007
2017,"Asia",21,20,0,6.44576761617347e-07,1633724015.40807,1287171728.57427,346552286.833805
2017,"Europe",18,18,4,3.16505624061931e-06,477996353.816668,100138802.486154,377857551.330514
2017,"Oceania",46,44,13,3.17465395664253e-06,733586657.461772,703701739.267411,29884918.1943611
2017,"PICs",27,30,0,3.14603385897378e-06,1191234088.66078,2397669740.11412,-1206435651.45334
2018,"Africa",21,21,9,1.92070845266673e-05,147209867.413495,21237482.9426391,125972384.470855
2018,"Americas",21,21,0,1.86865152593457e-05,364739198.487822,44940783.1689537,319798415.318868
2018,"Asia",21,21,0,5.6490157950077e-06,1796157752.64546,1283077778.03941,513079974.606058
2018,"Europe",20,20,4,1.42234295351944e-05,485815791.168975,129457564.548547,356358226.620428
2018,"Oceania",46,45,12,1.99493166750493e-05,784162849.862498,741802147.144462,42360702.7180358
2018,"PICs",31,32,2,1.902920190811e-05,1299011840.59053,2656581544.32477,-1357569703.73425
2019,"Africa",16,16,4,6.0422061859048e-05,139064921.891834,6437341.61259429,132627580.27924
2019,"Americas",20,17,3,6.0398034712059e-05,355632012.844969,37592395.0665257,318039617.778443
2019,"Asia",21,21,0,9.63773653416489e-05,1782874207.80273,1246134940.19754,536739267.605189
2019,"Europe",17,16,2,9.63773653416489e-05,540474664.067878,137215335.865783,403259328.202095
2019,"Oceania",42,40,7,4.90390353987217e-05,794558564.850154,750361972.568521,44196592.2816331
2019,"PICs",24,30,7,9.98117816155763e-05,1118509058.26251,2553371444.40911,-1434862386.1466
2020,"Africa",13,16,4,5.88991479077501e-05,142404528.215498,8913839.56959133,133490688.645907
2020,"Americas",19,16,3,3.28488776359682e-05,354485113.280909,18257553.7493174,336227559.531591
2020,"Asia",21,20,4,3.28488776359682e-05,1722428981.41961,1279941330.60862,442487650.810982
2020,"Europe",20,19,0,1.80560357378932e-05,501870836.014683,109989770.715701,391881065.298983
2020,"Oceania",35,33,15,5.98562973463125e-05,801412571.458273,754833698.220094,46578873.2381793
2020,"PICs",26,30,8,5.93738653931766e-05,1028401631.50799,2379067469.03364,-1350665837.52564
