"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value"
"Oceania","Europe","PICs","Protein","g",1199646.00769189
"Oceania","Europe","PICs","Fattyacids","g",42752.7282009876
"Oceania","Europe","PICs","Calcium","mg",548856.936010262
"Oceania","Europe","PICs","Zinc","mg",48069.6516125149
"Oceania","Europe","PICs","Iron","mg",108140.869724446
"Oceania","Europe","PICs","Vitamina","mcg",746962.470669774
"Oceania","Europe","PICs","Vitaminb12","mcg",465823.294567556
"Oceania","Oceania","PICs","Protein","g",13455343628.093
"Oceania","Oceania","PICs","Fattyacids","g",443626747.939573
"Oceania","Oceania","PICs","Calcium","mg",23252134679.4332
"Oceania","Oceania","PICs","Zinc","mg",454158124.137717
"Oceania","Oceania","PICs","Iron","mg",695353257.685331
"Oceania","Oceania","PICs","Vitamina","mcg",19408896291.7458
"Oceania","Oceania","PICs","Vitaminb12","mcg",3137827335.89777
"Oceania","PICs","Africa","Protein","g",11946475.569046
"Oceania","PICs","Africa","Fattyacids","g",558653.250369275
"Oceania","PICs","Africa","Calcium","mg",72772296.1166075
"Oceania","PICs","Africa","Zinc","mg",480507.65670294
"Oceania","PICs","Africa","Iron","mg",873855.702081596
"Oceania","PICs","Africa","Vitamina","mcg",21953586.2284519
"Oceania","PICs","Africa","Vitaminb12","mcg",4200774.4218664
"Oceania","PICs","Americas","Protein","g",602614532.108877
"Oceania","PICs","Americas","Fattyacids","g",17991144.0550342
"Oceania","PICs","Americas","Calcium","mg",785130448.179798
"Oceania","PICs","Americas","Zinc","mg",19473589.4386723
"Oceania","PICs","Americas","Iron","mg",31913905.1072213
"Oceania","PICs","Americas","Vitamina","mcg",703291052.790547
"Oceania","PICs","Americas","Vitaminb12","mcg",146260109.42209
"Oceania","PICs","Asia","Protein","g",1300809143.59348
"Oceania","PICs","Asia","Fattyacids","g",51889869.3459599
"Oceania","PICs","Asia","Calcium","mg",2365030864.74163
"Oceania","PICs","Asia","Zinc","mg",53236465.2610008
"Oceania","PICs","Asia","Iron","mg",80076683.400482
"Oceania","PICs","Asia","Vitamina","mcg",1612927200.89192
"Oceania","PICs","Asia","Vitaminb12","mcg",456841408.523251
"Oceania","PICs","Europe","Protein","g",403193279.893119
"Oceania","PICs","Europe","Fattyacids","g",15338675.516484
"Oceania","PICs","Europe","Calcium","mg",759991945.377752
"Oceania","PICs","Europe","Zinc","mg",15040859.0600784
"Oceania","PICs","Europe","Iron","mg",24997777.9162524
"Oceania","PICs","Europe","Vitamina","mcg",443848489.158895
"Oceania","PICs","Europe","Vitaminb12","mcg",135687455.122216
"Oceania","PICs","Oceania","Protein","g",38992245.7918568
"Oceania","PICs","Oceania","Fattyacids","g",2074116.01077484
"Oceania","PICs","Oceania","Calcium","mg",59133269.4290896
"Oceania","PICs","Oceania","Zinc","mg",1959741.18479954
"Oceania","PICs","Oceania","Iron","mg",2998945.91118651
"Oceania","PICs","Oceania","Vitamina","mcg",42435263.5627152
"Oceania","PICs","Oceania","Vitaminb12","mcg",20749089.7925335
"Oceania","PICs","PICs","Protein","g",141873384.892236
"Oceania","PICs","PICs","Fattyacids","g",7697749.81237102
"Oceania","PICs","PICs","Calcium","mg",90886345.6860195
"Oceania","PICs","PICs","Zinc","mg",8029058.23643873
"Oceania","PICs","PICs","Iron","mg",11708976.0161267
"Oceania","PICs","PICs","Vitamina","mcg",62897204.3679546
"Oceania","PICs","PICs","Vitaminb12","mcg",91181699.88396
"PICs","Africa","Africa","Protein","g",515753582.847214
"PICs","Africa","Africa","Fattyacids","g",15394495.3524961
"PICs","Africa","Africa","Calcium","mg",313973424.387508
"PICs","Africa","Africa","Zinc","mg",18918107.8371417
"PICs","Africa","Africa","Iron","mg",38840659.5454968
"PICs","Africa","Africa","Vitamina","mcg",350476596.100323
"PICs","Africa","Africa","Vitaminb12","mcg",165888757.450899
"PICs","Africa","Americas","Protein","g",143144796.915619
"PICs","Africa","Americas","Fattyacids","g",3695280.83897315
"PICs","Africa","Americas","Calcium","mg",89830663.1543311
"PICs","Africa","Americas","Zinc","mg",4802485.78091195
"PICs","Africa","Americas","Iron","mg",9213780.20201788
"PICs","Africa","Americas","Vitamina","mcg",103771167.56823
"PICs","Africa","Americas","Vitaminb12","mcg",36747971.0374383
"PICs","Africa","Asia","Protein","g",389511419.396775
"PICs","Africa","Asia","Fattyacids","g",11342654.9784014
"PICs","Africa","Asia","Calcium","mg",1549877753.90612
"PICs","Africa","Asia","Zinc","mg",11712836.1628944
"PICs","Africa","Asia","Iron","mg",24839373.602478
"PICs","Africa","Asia","Vitamina","mcg",280137404.904406
"PICs","Africa","Asia","Vitaminb12","mcg",87489889.413338
"PICs","Africa","Europe","Protein","g",2194239963.16711
"PICs","Africa","Europe","Fattyacids","g",53426664.4367637
"PICs","Africa","Europe","Calcium","mg",2127609699.50186
"PICs","Africa","Europe","Zinc","mg",72477158.812535
"PICs","Africa","Europe","Iron","mg",132515239.945351
"PICs","Africa","Europe","Vitamina","mcg",1612373394.63419
"PICs","Africa","Europe","Vitaminb12","mcg",519475773.591407
"PICs","Africa","Oceania","Protein","g",18861119.1824128
"PICs","Africa","Oceania","Fattyacids","g",605689.605492267
"PICs","Africa","Oceania","Calcium","mg",20986903.3756603
"PICs","Africa","Oceania","Zinc","mg",690500.520149747
"PICs","Africa","Oceania","Iron","mg",1371399.9402043
"PICs","Africa","Oceania","Vitamina","mcg",13458089.3358967
"PICs","Africa","Oceania","Vitaminb12","mcg",5818378.94258273
"PICs","Africa","PICs","Protein","g",48861617.9013989
"PICs","Africa","PICs","Fattyacids","g",1106105.81780389
"PICs","Africa","PICs","Calcium","mg",59185211.4552136
"PICs","Africa","PICs","Zinc","mg",1485671.74343471
"PICs","Africa","PICs","Iron","mg",1661127.65752196
"PICs","Africa","PICs","Vitamina","mcg",41736379.7344932
"PICs","Africa","PICs","Vitaminb12","mcg",6242363.74829837
"PICs","Americas","Africa","Protein","g",113657217.304719
"PICs","Americas","Africa","Fattyacids","g",3353155.93801547
"PICs","Americas","Africa","Calcium","mg",98470256.130634
"PICs","Americas","Africa","Zinc","mg",3970346.71249902
"PICs","Americas","Africa","Iron","mg",7366014.1334109
"PICs","Americas","Africa","Vitamina","mcg",84154140.6683179
"PICs","Americas","Africa","Vitaminb12","mcg",29421567.8272683
"PICs","Americas","Americas","Protein","g",8155873593.99297
"PICs","Americas","Americas","Fattyacids","g",218687363.016654
"PICs","Americas","Americas","Calcium","mg",5573837267.99907
"PICs","Americas","Americas","Zinc","mg",265932819.35724
"PICs","Americas","Americas","Iron","mg",501891983.532365
"PICs","Americas","Americas","Vitamina","mcg",5944235896.74335
"PICs","Americas","Americas","Vitaminb12","mcg",1888464773.71458
"PICs","Americas","Asia","Protein","g",5176279119.86889
"PICs","Americas","Asia","Fattyacids","g",125975310.509193
"PICs","Americas","Asia","Calcium","mg",5705899987.4096
"PICs","Americas","Asia","Zinc","mg",157253832.586934
"PICs","Americas","Asia","Iron","mg",243334517.141221
"PICs","Americas","Asia","Vitamina","mcg",4073751592.30634
"PICs","Americas","Asia","Vitaminb12","mcg",783309305.751404
"PICs","Americas","Europe","Protein","g",6076157146.41281
"PICs","Americas","Europe","Fattyacids","g",160909528.739704
"PICs","Americas","Europe","Calcium","mg",3971367782.2541
"PICs","Americas","Europe","Zinc","mg",198326283.372415
"PICs","Americas","Europe","Iron","mg",361367923.55533
"PICs","Americas","Europe","Vitamina","mcg",4543901285.7253
"PICs","Americas","Europe","Vitaminb12","mcg",1357226206.24126
"PICs","Americas","Oceania","Protein","g",75238710.5491529
"PICs","Americas","Oceania","Fattyacids","g",1781338.96924992
"PICs","Americas","Oceania","Calcium","mg",86087783.6164727
"PICs","Americas","Oceania","Zinc","mg",2464440.35814322
"PICs","Americas","Oceania","Iron","mg",2865285.66714788
"PICs","Americas","Oceania","Vitamina","mcg",62913870.7093701
"PICs","Americas","Oceania","Vitaminb12","mcg",9562944.65399309
"PICs","Americas","PICs","Protein","g",48819554.5938972
"PICs","Americas","PICs","Fattyacids","g",1263760.69229004
"PICs","Americas","PICs","Calcium","mg",48632934.8063782
"PICs","Americas","PICs","Zinc","mg",1415233.94745072
"PICs","Americas","PICs","Iron","mg",1891840.59591181
"PICs","Americas","PICs","Vitamina","mcg",42729231.4420104
"PICs","Americas","PICs","Vitaminb12","mcg",5338331.85262811
"PICs","Asia","Africa","Protein","g",64538583745.6122
"PICs","Asia","Africa","Fattyacids","g",2073369087.68847
"PICs","Asia","Africa","Calcium","mg",30474797440.8632
"PICs","Asia","Africa","Zinc","mg",2492902298.79921
"PICs","Asia","Africa","Iron","mg",5384721236.93432
"PICs","Asia","Africa","Vitamina","mcg",41702312760.3103
"PICs","Asia","Africa","Vitaminb12","mcg",23298301984.3368
"PICs","Asia","Americas","Protein","g",116374080330.41
"PICs","Asia","Americas","Fattyacids","g",3623553881.13334
"PICs","Asia","Americas","Calcium","mg",55654915166.6333
"PICs","Asia","Americas","Zinc","mg",4423807961.66459
"PICs","Asia","Americas","Iron","mg",9431639142.28215
"PICs","Asia","Americas","Vitamina","mcg",75730214320.0035
"PICs","Asia","Americas","Vitaminb12","mcg",40569866636.5129
"PICs","Asia","Asia","Protein","g",109072653155.329
"PICs","Asia","Asia","Fattyacids","g",3361695559.70553
"PICs","Asia","Asia","Calcium","mg",59003381772.0558
"PICs","Asia","Asia","Zinc","mg",4130263598.50928
"PICs","Asia","Asia","Iron","mg",8508516573.81197
"PICs","Asia","Asia","Vitamina","mcg",71975681964.4113
"PICs","Asia","Asia","Vitaminb12","mcg",36463047606.3241
"PICs","Asia","Europe","Protein","g",59468471795.5578
"PICs","Asia","Europe","Fattyacids","g",1706403966.9778
"PICs","Asia","Europe","Calcium","mg",27586887900.0846
"PICs","Asia","Europe","Zinc","mg",2184807398.47257
"PICs","Asia","Europe","Iron","mg",4543987154.96421
"PICs","Asia","Europe","Vitamina","mcg",39658852744.6054
"PICs","Asia","Europe","Vitaminb12","mcg",19295291700.2506
"PICs","Asia","Oceania","Protein","g",27856987422.6454
"PICs","Asia","Oceania","Fattyacids","g",886355218.981066
"PICs","Asia","Oceania","Calcium","mg",13212743781.8878
"PICs","Asia","Oceania","Zinc","mg",1074303095.82645
"PICs","Asia","Oceania","Iron","mg",2304050491.28801
"PICs","Asia","Oceania","Vitamina","mcg",18010435070.3419
"PICs","Asia","Oceania","Vitaminb12","mcg",9948509198.56046
"PICs","Asia","PICs","Protein","g",4413410011.44865
"PICs","Asia","PICs","Fattyacids","g",135318863.414133
"PICs","Asia","PICs","Calcium","mg",2161448770.15581
"PICs","Asia","PICs","Zinc","mg",164121186.119161
"PICs","Asia","PICs","Iron","mg",345685590.343548
"PICs","Asia","PICs","Vitamina","mcg",2959862620.1415
"PICs","Asia","PICs","Vitaminb12","mcg",1463352348.37783
"PICs","Asia",NA,"Protein","g",515528.440942142
"PICs","Asia",NA,"Fattyacids","g",19560.0605115531
"PICs","Asia",NA,"Calcium","mg",244916.606993253
"PICs","Asia",NA,"Zinc","mg",18555.2170705309
"PICs","Asia",NA,"Iron","mg",39631.9866717238
"PICs","Asia",NA,"Vitamina","mcg",412008.345590111
"PICs","Asia",NA,"Vitaminb12","mcg",138245.418557326
"PICs","Europe","Africa","Protein","g",2071196041.10631
"PICs","Europe","Africa","Fattyacids","g",54014109.7287206
"PICs","Europe","Africa","Calcium","mg",1135981734.40388
"PICs","Europe","Africa","Zinc","mg",69757941.8105271
"PICs","Europe","Africa","Iron","mg",136732592.909318
"PICs","Europe","Africa","Vitamina","mcg",1487881775.01202
"PICs","Europe","Africa","Vitaminb12","mcg",543020569.49519
"PICs","Europe","Americas","Protein","g",780359001.883526
"PICs","Europe","Americas","Fattyacids","g",22089978.8342197
"PICs","Europe","Americas","Calcium","mg",331182685.27894
"PICs","Europe","Americas","Zinc","mg",28426498.9769084
"PICs","Europe","Americas","Iron","mg",60165010.0293329
"PICs","Europe","Americas","Vitamina","mcg",516068932.567557
"PICs","Europe","Americas","Vitaminb12","mcg",255198082.244438
"PICs","Europe","Asia","Protein","g",1088283440.70792
"PICs","Europe","Asia","Fattyacids","g",27093071.6389118
"PICs","Europe","Asia","Calcium","mg",493506817.585907
"PICs","Europe","Asia","Zinc","mg",36931733.5231113
"PICs","Europe","Asia","Iron","mg",75944181.4130162
"PICs","Europe","Asia","Vitamina","mcg",744319971.536183
"PICs","Europe","Asia","Vitaminb12","mcg",311656234.829817
"PICs","Europe","Europe","Protein","g",34944004301.2195
"PICs","Europe","Europe","Fattyacids","g",1080265904.14236
"PICs","Europe","Europe","Calcium","mg",16060409279.4965
"PICs","Europe","Europe","Zinc","mg",1330675157.13092
"PICs","Europe","Europe","Iron","mg",2856453534.0457
"PICs","Europe","Europe","Vitamina","mcg",22830007562.5102
"PICs","Europe","Europe","Vitaminb12","mcg",12286502378.8319
"PICs","Europe","Oceania","Protein","g",35523110.6011435
"PICs","Europe","Oceania","Fattyacids","g",1009479.71217832
"PICs","Europe","Oceania","Calcium","mg",15293609.7444657
"PICs","Europe","Oceania","Zinc","mg",1289447.76334792
"PICs","Europe","Oceania","Iron","mg",2716373.22660685
"PICs","Europe","Oceania","Vitamina","mcg",23821074.7361682
"PICs","Europe","Oceania","Vitaminb12","mcg",11451539.0438586
"PICs","Europe","PICs","Protein","g",14903687.9489377
"PICs","Europe","PICs","Fattyacids","g",466545.923073625
"PICs","Europe","PICs","Calcium","mg",6394422.51834805
"PICs","Europe","PICs","Zinc","mg",574326.871602326
"PICs","Europe","PICs","Iron","mg",1250593.40484924
"PICs","Europe","PICs","Vitamina","mcg",9560778.4727025
"PICs","Europe","PICs","Vitaminb12","mcg",5430609.41467501
"PICs","Europe",NA,"Protein","g",45290295.4293749
"PICs","Europe",NA,"Fattyacids","g",1507350.27983069
"PICs","Europe",NA,"Calcium","mg",20893770.2668092
"PICs","Europe",NA,"Zinc","mg",1801888.06796043
"PICs","Europe",NA,"Iron","mg",3934846.46031259
"PICs","Europe",NA,"Vitamina","mcg",28900720.2509913
"PICs","Europe",NA,"Vitaminb12","mcg",17247529.9358083
"PICs","Oceania","Africa","Protein","g",87958674.9908526
"PICs","Oceania","Africa","Fattyacids","g",2420009.62275834
"PICs","Oceania","Africa","Calcium","mg",104981194.066777
"PICs","Oceania","Africa","Zinc","mg",2541813.7384118
"PICs","Oceania","Africa","Iron","mg",3567742.85502044
"PICs","Oceania","Africa","Vitamina","mcg",80690493.1305532
"PICs","Oceania","Africa","Vitaminb12","mcg",8896275.58478276
"PICs","Oceania","Americas","Protein","g",178117223.773358
"PICs","Oceania","Americas","Fattyacids","g",4161036.32055019
"PICs","Oceania","Americas","Calcium","mg",174575360.434863
"PICs","Oceania","Americas","Zinc","mg",6627280.77137476
"PICs","Oceania","Americas","Iron","mg",6429823.42283316
"PICs","Oceania","Americas","Vitamina","mcg",142788206.55156
"PICs","Oceania","Americas","Vitaminb12","mcg",14090518.3445054
"PICs","Oceania","Asia","Protein","g",791521002.658364
"PICs","Oceania","Asia","Fattyacids","g",18328883.0701683
"PICs","Oceania","Asia","Calcium","mg",986715801.435558
"PICs","Oceania","Asia","Zinc","mg",29388383.0253103
"PICs","Oceania","Asia","Iron","mg",28362332.5804878
"PICs","Oceania","Asia","Vitamina","mcg",636264687.910124
"PICs","Oceania","Asia","Vitaminb12","mcg",72871802.3447921
"PICs","Oceania","Europe","Protein","g",1049614696.63675
"PICs","Oceania","Europe","Fattyacids","g",30217492.9946409
"PICs","Oceania","Europe","Calcium","mg",957274640.333952
"PICs","Oceania","Europe","Zinc","mg",29619277.0924833
"PICs","Oceania","Europe","Iron","mg",43265689.1895634
"PICs","Oceania","Europe","Vitamina","mcg",991120376.634144
"PICs","Oceania","Europe","Vitaminb12","mcg",86354837.0503256
"PICs","Oceania","Oceania","Protein","g",1060668691.11632
"PICs","Oceania","Oceania","Fattyacids","g",28075025.888539
"PICs","Oceania","Oceania","Calcium","mg",1322657150.56626
"PICs","Oceania","Oceania","Zinc","mg",31439786.5499368
"PICs","Oceania","Oceania","Iron","mg",49504971.212495
"PICs","Oceania","Oceania","Vitamina","mcg",941058290.998658
"PICs","Oceania","Oceania","Vitaminb12","mcg",138777328.712089
"PICs","Oceania","PICs","Protein","g",67838293.433364
"PICs","Oceania","PICs","Fattyacids","g",1922420.37453354
"PICs","Oceania","PICs","Calcium","mg",56320293.117461
"PICs","Oceania","PICs","Zinc","mg",1924777.61127889
"PICs","Oceania","PICs","Iron","mg",2877870.73706513
"PICs","Oceania","PICs","Vitamina","mcg",62787076.4672258
"PICs","Oceania","PICs","Vitaminb12","mcg",6515883.66772812
"PICs","PICs","Africa","Protein","g",941855980.944316
"PICs","PICs","Africa","Fattyacids","g",23750162.5707278
"PICs","PICs","Africa","Calcium","mg",1245758776.0366
"PICs","PICs","Africa","Zinc","mg",29512276.4462844
"PICs","PICs","Africa","Iron","mg",52507468.7389388
"PICs","PICs","Africa","Vitamina","mcg",685502403.606603
"PICs","PICs","Africa","Vitaminb12","mcg",208014750.007995
"PICs","PICs","Americas","Protein","g",58843728007.9045
"PICs","PICs","Americas","Fattyacids","g",1559790619.28533
"PICs","PICs","Americas","Calcium","mg",44992082450.9493
"PICs","PICs","Americas","Zinc","mg",1873385881.41832
"PICs","PICs","Americas","Iron","mg",3673377557.78266
"PICs","PICs","Americas","Vitamina","mcg",42586749438.0181
"PICs","PICs","Americas","Vitaminb12","mcg",13352553362.5884
"PICs","PICs","Asia","Protein","g",207907669105.828
"PICs","PICs","Asia","Fattyacids","g",5496446858.80146
"PICs","PICs","Asia","Calcium","mg",142629972684.738
"PICs","PICs","Asia","Zinc","mg",6741415105.17966
"PICs","PICs","Asia","Iron","mg",13103309202.642
"PICs","PICs","Asia","Vitamina","mcg",139901078177.735
"PICs","PICs","Asia","Vitaminb12","mcg",52670328104.0528
"PICs","PICs","Europe","Protein","g",83307705695.8395
"PICs","PICs","Europe","Fattyacids","g",2453387672.63883
"PICs","PICs","Europe","Calcium","mg",39582367068.8279
"PICs","PICs","Europe","Zinc","mg",3096195097.76119
"PICs","PICs","Europe","Iron","mg",6671505281.50963
"PICs","PICs","Europe","Vitamina","mcg",54547784078.5602
"PICs","PICs","Europe","Vitaminb12","mcg",28427608466.2291
"PICs","PICs","Oceania","Protein","g",2277629521.47987
"PICs","PICs","Oceania","Fattyacids","g",54090390.2836897
"PICs","PICs","Oceania","Calcium","mg",3758217001.38172
"PICs","PICs","Oceania","Zinc","mg",70565904.1710358
"PICs","PICs","Oceania","Iron","mg",98914380.2685065
"PICs","PICs","Oceania","Vitamina","mcg",2004007951.94451
"PICs","PICs","Oceania","Vitaminb12","mcg",240761450.946971
"PICs","PICs","PICs","Protein","g",4785466852.06604
"PICs","PICs","PICs","Fattyacids","g",104562220.434743
"PICs","PICs","PICs","Calcium","mg",2843245399.23037
"PICs","PICs","PICs","Zinc","mg",150942271.080236
"PICs","PICs","PICs","Iron","mg",300864710.319916
"PICs","PICs","PICs","Vitamina","mcg",3387700846.44691
"PICs","PICs","PICs","Vitaminb12","mcg",1153390735.03606
"PICs","PICs",NA,"Protein","g",253326.563419379
"PICs","PICs",NA,"Fattyacids","g",5631.74913838243
"PICs","PICs",NA,"Calcium","mg",313253.277346544
"PICs","PICs",NA,"Zinc","mg",7627.03631800281
"PICs","PICs",NA,"Iron","mg",8171.82462643158
"PICs","PICs",NA,"Vitamina","mcg",217915.323371509
"PICs","PICs",NA,"Vitaminb12","mcg",30371.948194904
"PICs",NA,"Africa","Protein","g",314601.172353239
"PICs",NA,"Africa","Fattyacids","g",9534.10881825593
"PICs",NA,"Africa","Calcium","mg",132245.144757626
"PICs",NA,"Africa","Zinc","mg",11974.2048708437
"PICs",NA,"Africa","Iron","mg",25829.6052661701
"PICs",NA,"Africa","Vitamina","mcg",204765.336860041
"PICs",NA,"Africa","Vitaminb12","mcg",111878.061050886
"PICs",NA,"PICs","Protein","g",502648630943.925
"PICs",NA,"PICs","Fattyacids","g",12747284618.1478
"PICs",NA,"PICs","Calcium","mg",418954198783.465
"PICs",NA,"PICs","Zinc","mg",16470823206.7623
"PICs",NA,"PICs","Iron","mg",31928091916.0318
"PICs",NA,"PICs","Vitamina","mcg",336682467047.845
"PICs",NA,"PICs","Vitaminb12","mcg",128328202668.851
